表記,読み,品詞,語種
作文,サクブン,名詞-普通名詞-サ変可能,漢
本棚,ホンダナ,名詞-普通名詞-一般,混
晩御飯,バンゴハン,名詞-普通名詞-一般,漢
花瓶,カビン,名詞-普通名詞-一般,漢
ラジカセ,ラジカセ,名詞-普通名詞-一般,外
鳥肉,トリニク,名詞-普通名詞-一般,混
朝ご飯,アサゴハン,名詞-普通名詞-一般,混
字引,ジビキ,名詞-普通名詞-一般,混
ひるごはん,ヒルゴハン,名詞-普通名詞-一般,混
気,キ,名詞-普通名詞-一般,漢
必要,ヒツヨウ,名詞-普通名詞-形状詞可能,漢
女性,ジョセイ,名詞-普通名詞-一般,漢
以上,イジョウ,名詞-普通名詞-副詞可能,漢
気持ち,キモチ,名詞-普通名詞-一般,混
関係,カンケイ,名詞-普通名詞-サ変可能,漢
別,ベツ,名詞-普通名詞-形状詞可能,漢
普通,フツウ,名詞-普通名詞-形状詞可能,漢
最近,サイキン,名詞-普通名詞-副詞可能,漢
場所,バショ,名詞-普通名詞-一般,混
以外,イガイ,名詞-普通名詞-副詞可能,漢
最初,サイショ,名詞-普通名詞-副詞可能,漢
理由,リユウ,名詞-普通名詞-一般,漢
ダメ,ダメ,名詞-普通名詞-形状詞可能,混
説明,セツメイ,名詞-普通名詞-サ変可能,漢
心配,シンパイ,名詞-普通名詞-サ変形状詞可能,漢
生活,セイカツ,名詞-普通名詞-サ変可能,漢
世界,セカイ,名詞-普通名詞-一般,漢
連絡,レンラク,名詞-普通名詞-サ変可能,漢
最後,サイゴ,名詞-普通名詞-一般,漢
無理,ムリ,名詞-普通名詞-形状詞可能,漢
点,テン,名詞-普通名詞-一般,漢
男性,ダンセイ,名詞-普通名詞-一般,漢
時代,ジダイ,名詞-普通名詞-一般,漢
主人,シュジン,名詞-普通名詞-一般,漢
経験,ケイケン,名詞-普通名詞-サ変可能,漢
今度,コンド,名詞-普通名詞-副詞可能,漢
客,キャク,名詞-普通名詞-一般,漢
市,シ,名詞-普通名詞-一般,漢
相談,ソウダン,名詞-普通名詞-サ変可能,漢
会,カイ,名詞-普通名詞-一般,漢
利用,リヨウ,名詞-普通名詞-サ変可能,漢
式,シキ,名詞-普通名詞-一般,漢
県,ケン,名詞-普通名詞-一般,漢
原因,ゲンイン,名詞-普通名詞-サ変可能,漢
警察,ケイサツ,名詞-普通名詞-一般,漢
注意,チュウイ,名詞-普通名詞-サ変可能,漢
急,キュウ,名詞-普通名詞-形状詞可能,漢
意見,イケン,名詞-普通名詞-サ変可能,漢
予定,ヨテイ,名詞-普通名詞-サ変可能,漢
アメリカ,アメリカ,名詞-固有名詞-地名-国,固
食事,ショクジ,名詞-普通名詞-サ変可能,漢
変,ヘン,名詞-普通名詞-形状詞可能,漢
気分,キブン,名詞-普通名詞-一般,漢
席,セキ,名詞-普通名詞-一般,漢
パソコン,パソコン,名詞-普通名詞-一般,外
ソフト,ソフト,名詞-普通名詞-形状詞可能,外
高校,コウコウ,名詞-普通名詞-一般,漢
タイプ,タイプ,名詞-普通名詞-一般,外
紹介,ショウカイ,名詞-普通名詞-サ変可能,漢
運転,ウンテン,名詞-普通名詞-サ変可能,漢
社会,シャカイ,名詞-普通名詞-一般,漢
危険,キケン,名詞-普通名詞-形状詞可能,漢
途中,トチュウ,名詞-普通名詞-副詞可能,漢
安心,アンシン,名詞-普通名詞-サ変形状詞可能,漢
大体,ダイタイ,名詞-普通名詞-副詞可能,漢
返事,ヘンジ,名詞-普通名詞-サ変可能,漢
興味,キョウミ,名詞-普通名詞-一般,漢
事故,ジコ,名詞-普通名詞-一般,漢
格好,カッコウ,名詞-普通名詞-一般,漢
自由,ジユウ,名詞-普通名詞-形状詞可能,漢
運動,ウンドウ,名詞-普通名詞-サ変可能,漢
反対,ハンタイ,名詞-普通名詞-サ変形状詞可能,漢
都合,ツゴウ,名詞-普通名詞-一般,漢
以下,イカ,名詞-普通名詞-一般,漢
番組,バングミ,名詞-普通名詞-一般,混
用意,ヨウイ,名詞-普通名詞-サ変可能,漢
挨拶,アイサツ,名詞-普通名詞-サ変可能,漢
約束,ヤクソク,名詞-普通名詞-サ変可能,漢
チェック,チェック,名詞-普通名詞-サ変可能,外
み,ミ,名詞-普通名詞-一般,漢
値段,ネダン,名詞-普通名詞-一般,混
会話,カイワ,名詞-普通名詞-サ変可能,漢
空気,クウキ,名詞-普通名詞-一般,漢
字,ジ,名詞-普通名詞-一般,漢
放送,ホウソウ,名詞-普通名詞-サ変可能,漢
ガラス,ガラス,名詞-普通名詞-一般,外
