表記,読み,品詞,語種
沈下,チンカ,名詞-普通名詞-サ変可能,漢
忘年,ボウネン,名詞-普通名詞-一般,漢
提訴,テイソ,名詞-普通名詞-サ変可能,漢
県道,ケンドウ,名詞-普通名詞-一般,漢
幻滅,ゲンメツ,名詞-普通名詞-サ変可能,漢
無地,ムジ,名詞-普通名詞-一般,漢
腹心,フクシン,名詞-普通名詞-一般,漢
縁談,エンダン,名詞-普通名詞-一般,漢
レタス,レタス,名詞-普通名詞-一般,外
要衝,ヨウショウ,名詞-普通名詞-一般,漢
修練,シュウレン,名詞-普通名詞-サ変可能,漢
野獣,ヤジュウ,名詞-普通名詞-一般,漢
全軍,ゼングン,名詞-普通名詞-一般,漢
遊歩,ユウホ,名詞-普通名詞-サ変可能,漢
放課,ホウカ,名詞-普通名詞-一般,漢
木簡,モッカン,名詞-普通名詞-一般,漢
断続,ダンゾク,名詞-普通名詞-サ変可能,漢
商工業,ショウコウギョウ,名詞-普通名詞-一般,漢
照準,ショウジュン,名詞-普通名詞-サ変可能,漢
エロ,エロ,名詞-普通名詞-形状詞可能,外
諸将,ショショウ,名詞-普通名詞-一般,漢
定款,テイカン,名詞-普通名詞-一般,漢
均質,キンシツ,名詞-普通名詞-形状詞可能,漢
位牌,イハイ,名詞-普通名詞-一般,漢
迷宮,メイキュウ,名詞-普通名詞-一般,漢
スリル,スリル,名詞-普通名詞-一般,外
華人,カジン,名詞-普通名詞-一般,漢
親善,シンゼン,名詞-普通名詞-一般,漢
化身,ケシン,名詞-普通名詞-一般,漢
貫禄,カンロク,名詞-普通名詞-一般,漢
共闘,キョウトウ,名詞-普通名詞-サ変可能,漢
市政,シセイ,名詞-普通名詞-一般,漢
カンパニー,カンパニー,名詞-普通名詞-一般,外
国定,コクテイ,名詞-普通名詞-一般,漢
ソーダ,ソーダ,名詞-普通名詞-一般,外
素地,ソジ,名詞-普通名詞-一般,漢
新参,シンザン,名詞-普通名詞-一般,漢
内気,ウチキ,名詞-普通名詞-形状詞可能,混
玄米,ゲンマイ,名詞-普通名詞-一般,漢
メッセンジャー,メッセンジャー,名詞-普通名詞-一般,外
植林,ショクリン,名詞-普通名詞-サ変可能,漢
腱,ケン,名詞-普通名詞-一般,漢
帝政,テイセイ,名詞-普通名詞-一般,漢
示談,ジダン,名詞-普通名詞-一般,漢
生母,セイボ,名詞-普通名詞-一般,漢
ロマンス,ロマンス,名詞-普通名詞-一般,外
怠惰,タイダ,名詞-普通名詞-形状詞可能,漢
教化,キョウカ,名詞-普通名詞-サ変可能,漢
客船,キャクセン,名詞-普通名詞-一般,漢
草稿,ソウコウ,名詞-普通名詞-一般,漢
少額,ショウガク,名詞-普通名詞-一般,漢
裁縫,サイホウ,名詞-普通名詞-サ変可能,漢
洋式,ヨウシキ,名詞-普通名詞-一般,漢
妖精,ヨウセイ,名詞-普通名詞-一般,漢
密告,ミッコク,名詞-普通名詞-サ変可能,漢
粉砕,フンサイ,名詞-普通名詞-サ変可能,漢
菜園,サイエン,名詞-普通名詞-一般,漢
バグ,バグ,名詞-普通名詞-一般,外
ザック,ザック,名詞-普通名詞-一般,外
華族,カゾク,名詞-普通名詞-一般,漢
オーケストラ,オーケストラ,名詞-普通名詞-一般,外
一喝,イッカツ,名詞-普通名詞-サ変可能,漢
需給,ジュキュウ,名詞-普通名詞-一般,漢
逆襲,ギャクシュウ,名詞-普通名詞-サ変可能,漢
親愛,シンアイ,名詞-普通名詞-形状詞可能,漢
躍進,ヤクシン,名詞-普通名詞-サ変可能,漢
復古,フッコ,名詞-普通名詞-サ変可能,漢
形がい,ケイガイ,名詞-普通名詞-一般,漢
鼓舞,コブ,名詞-普通名詞-サ変可能,漢
防波,ボウハ,名詞-普通名詞-一般,漢
ヒストリー,ヒストリー,名詞-普通名詞-一般,外
年報,ネンポウ,名詞-普通名詞-一般,漢
軽薄,ケイハク,名詞-普通名詞-形状詞可能,漢
枢機,スウキ,名詞-普通名詞-一般,漢
一場,イチジョウ,名詞-普通名詞-一般,漢
隊士,タイシ,名詞-普通名詞-一般,漢
退散,タイサン,名詞-普通名詞-サ変可能,漢
高利,コウリ,名詞-普通名詞-一般,漢
所作,ショサ,名詞-普通名詞-一般,漢
公子,コウシ,名詞-普通名詞-一般,漢
永年,エイネン,名詞-普通名詞-副詞可能,漢
逆戻り,ギャクモドリ,名詞-普通名詞-サ変可能,混
一夕,イッセキ,名詞-普通名詞-一般,漢
スキャン,スキャン,名詞-普通名詞-サ変可能,外
番人,バンニン,名詞-普通名詞-一般,漢
バレーボール,バレーボール,名詞-普通名詞-一般,外
始発,シハツ,名詞-普通名詞-一般,漢
貫通,カンツウ,名詞-普通名詞-サ変可能,漢
通俗,ツウゾク,名詞-普通名詞-形状詞可能,漢
至近,シキン,名詞-普通名詞-一般,漢
メス,メス,名詞-普通名詞-一般,外
ペンギン,ペンギン,名詞-普通名詞-一般,外
低地,テイチ,名詞-普通名詞-一般,漢
西岸,セイガン,名詞-普通名詞-一般,漢
扇風,センプウ,名詞-普通名詞-一般,漢
名産,メイサン,名詞-普通名詞-一般,漢
イタリアン,イタリアン,名詞-普通名詞-形状詞可能,外
視座,シザ,名詞-普通名詞-一般,漢
ひぼう,ヒボウ,名詞-普通名詞-サ変可能,漢
恩賞,オンショウ,名詞-普通名詞-一般,漢
首領,シュリョウ,名詞-普通名詞-一般,漢
複写,フクシャ,名詞-普通名詞-サ変可能,漢
茶漬け,チャヅケ,名詞-普通名詞-一般,混
バイキング,バイキング,名詞-普通名詞-一般,外
改竄,カイザン,名詞-普通名詞-サ変可能,漢
連立,レンリツ,名詞-普通名詞-サ変可能,漢
豊作,ホウサク,名詞-普通名詞-一般,漢
道化,ドウケ,名詞-普通名詞-一般,漢
筋力,キンリョク,名詞-普通名詞-一般,漢
風体,フウテイ,名詞-普通名詞-一般,漢
定形,テイケイ,名詞-普通名詞-一般,漢
囲碁,イゴ,名詞-普通名詞-一般,漢
大作,タイサク,名詞-普通名詞-一般,漢
アルミニウム,アルミニウム,名詞-普通名詞-一般,外
交感,コウカン,名詞-普通名詞-一般,漢
最判,サイハン,名詞-普通名詞-一般,漢
バロック,バロック,名詞-普通名詞-一般,外
扶持,フチ,名詞-普通名詞-サ変可能,漢
スタンプ,スタンプ,名詞-普通名詞-一般,外
形象,ケイショウ,名詞-普通名詞-一般,漢
故国,ココク,名詞-普通名詞-一般,漢
性癖,セイヘキ,名詞-普通名詞-一般,漢
落着,ラクチャク,名詞-普通名詞-サ変可能,漢
実母,ジツボ,名詞-普通名詞-一般,漢
指南,シナン,名詞-普通名詞-サ変可能,漢
禁欲,キンヨク,名詞-普通名詞-サ変可能,漢
ラップ,ラップ,名詞-普通名詞-サ変可能,外
合作,ガッサク,名詞-普通名詞-サ変可能,漢
ココア,ココア,名詞-普通名詞-一般,外
リブ,リブ,名詞-普通名詞-一般,外
疾風,シップウ,名詞-普通名詞-一般,漢
母艦,ボカン,名詞-普通名詞-一般,漢
怒濤,ドトウ,名詞-普通名詞-一般,漢
分立,ブンリツ,名詞-普通名詞-サ変可能,漢
ブレンド,ブレンド,名詞-普通名詞-サ変可能,外
受益,ジュエキ,名詞-普通名詞-一般,漢
マルチメディア,マルチメディア,名詞-普通名詞-一般,外
携行,ケイコウ,名詞-普通名詞-サ変可能,漢
手話,シュワ,名詞-普通名詞-一般,漢
両軍,リョウグン,名詞-普通名詞-一般,漢
楽譜,ガクフ,名詞-普通名詞-一般,漢
給仕,キュウジ,名詞-普通名詞-サ変可能,漢
無私,ムシ,名詞-普通名詞-形状詞可能,漢
最多,サイタ,名詞-普通名詞-一般,漢
女装,ジョソウ,名詞-普通名詞-サ変可能,漢
鉄筋,テッキン,名詞-普通名詞-一般,漢
不定,フテイ,名詞-普通名詞-形状詞可能,漢
戦火,センカ,名詞-普通名詞-一般,漢
都立,トリツ,名詞-普通名詞-一般,漢
品位,ヒンイ,名詞-普通名詞-一般,漢
抱擁,ホウヨウ,名詞-普通名詞-サ変可能,漢
税込み,ゼイコミ,名詞-普通名詞-一般,混
スペック,スペック,名詞-普通名詞-一般,外
結納,ユイノウ,名詞-普通名詞-一般,混
気絶,キゼツ,名詞-普通名詞-サ変可能,漢
ネーティブ,ネーティブ,名詞-普通名詞-形状詞可能,外
潔癖,ケッペキ,名詞-普通名詞-形状詞可能,漢
一騎,イッキ,名詞-普通名詞-一般,漢
外敵,ガイテキ,名詞-普通名詞-一般,漢
人望,ジンボウ,名詞-普通名詞-一般,漢
求職,キュウショク,名詞-普通名詞-サ変可能,漢
プッシュ,プッシュ,名詞-普通名詞-サ変可能,外
短剣,タンケン,名詞-普通名詞-一般,漢
熟睡,ジュクスイ,名詞-普通名詞-サ変可能,漢
円筒,エントウ,名詞-普通名詞-一般,漢
ペースト,ペースト,名詞-普通名詞-一般,外
威光,イコウ,名詞-普通名詞-一般,漢
禁制,キンセイ,名詞-普通名詞-サ変可能,漢
検分,ケンブン,名詞-普通名詞-サ変可能,漢
バスルーム,バスルーム,名詞-普通名詞-一般,外
鋼鉄,コウテツ,名詞-普通名詞-一般,漢
吐息,トイキ,名詞-普通名詞-一般,混
審美,シンビ,名詞-普通名詞-一般,漢
会報,カイホウ,名詞-普通名詞-一般,漢
シリコン,シリコン,名詞-普通名詞-一般,外
寒,カン,名詞-普通名詞-一般,漢
弁償,ベンショウ,名詞-普通名詞-サ変可能,漢
ボウル,ボウル,名詞-普通名詞-一般,外
ばつ,バツ,名詞-普通名詞-一般,漢
中元,チュウゲン,名詞-普通名詞-一般,漢
さく裂,サクレツ,名詞-普通名詞-サ変可能,漢
発刊,ハッカン,名詞-普通名詞-サ変可能,漢
医大,イダイ,名詞-普通名詞-一般,漢
訳者,ヤクシャ,名詞-普通名詞-一般,漢
キャッチフレーズ,キャッチフレーズ,名詞-普通名詞-一般,外
寒天,カンテン,名詞-普通名詞-一般,漢
駐留,チュウリュウ,名詞-普通名詞-サ変可能,漢
自嘲,ジチョウ,名詞-普通名詞-サ変可能,漢
悲願,ヒガン,名詞-普通名詞-一般,漢
右脳,ウノウ,名詞-普通名詞-一般,漢
素養,ソヨウ,名詞-普通名詞-一般,漢
モンスター,モンスター,名詞-普通名詞-一般,外
スナップ,スナップ,名詞-普通名詞-一般,外
師事,シジ,名詞-普通名詞-サ変可能,漢
叙情,ジョジョウ,名詞-普通名詞-一般,漢
楽団,ガクダン,名詞-普通名詞-一般,漢
理工,リコウ,名詞-普通名詞-一般,漢
ブラジャー,ブラジャー,名詞-普通名詞-一般,外
クイック,クイック,名詞-普通名詞-形状詞可能,外
上官,ジョウカン,名詞-普通名詞-一般,漢
テーゼ,テーゼ,名詞-普通名詞-一般,外
被疑,ヒギ,名詞-普通名詞-一般,漢
エトセトラ,エトセトラ,名詞-普通名詞-一般,外
大社,タイシャ,名詞-普通名詞-一般,漢
酷使,コクシ,名詞-普通名詞-サ変可能,漢
総量,ソウリョウ,名詞-普通名詞-一般,漢
魚類,ギョルイ,名詞-普通名詞-一般,漢
戦慄,センリツ,名詞-普通名詞-サ変可能,漢
戦地,センチ,名詞-普通名詞-一般,漢
班長,ハンチョウ,名詞-普通名詞-一般,漢
沿革,エンカク,名詞-普通名詞-一般,漢
クラウン,クラウン,名詞-普通名詞-一般,外
悪名,アクメイ,名詞-普通名詞-一般,漢
絶賛,ゼッサン,名詞-普通名詞-サ変可能,漢
洗脳,センノウ,名詞-普通名詞-サ変可能,漢
ストロー,ストロー,名詞-普通名詞-一般,外
リフォーム,リフォーム,名詞-普通名詞-サ変可能,外
ウォーク,ウォーク,名詞-普通名詞-一般,外
散文,サンブン,名詞-普通名詞-一般,漢
嫡男,チャクナン,名詞-普通名詞-一般,漢
マイノリティー,マイノリティー,名詞-普通名詞-一般,外
湿布,シップ,名詞-普通名詞-サ変可能,漢
大門,ダイモン,名詞-普通名詞-一般,漢
シロップ,シロップ,名詞-普通名詞-一般,外
シーク,シーク,名詞-普通名詞-一般,外
隠,イン,名詞-普通名詞-一般,漢
防火,ボウカ,名詞-普通名詞-一般,漢
新版,シンパン,名詞-普通名詞-一般,漢
バレエ,バレエ,名詞-普通名詞-一般,外
番所,バンショ,名詞-普通名詞-一般,漢
ハンコ,ハンコ,名詞-普通名詞-一般,漢
開化,カイカ,名詞-普通名詞-サ変可能,漢
果樹,カジュ,名詞-普通名詞-一般,漢
自決,ジケツ,名詞-普通名詞-サ変可能,漢
約款,ヤッカン,名詞-普通名詞-一般,漢
明暗,メイアン,名詞-普通名詞-一般,漢
イレブン,イレブン,名詞-普通名詞-一般,外
磁器,ジキ,名詞-普通名詞-一般,漢
不死,フシ,名詞-普通名詞-一般,漢
炎上,エンジョウ,名詞-普通名詞-サ変可能,漢
速力,ソクリョク,名詞-普通名詞-一般,漢
ユニオン,ユニオン,名詞-普通名詞-一般,外
正倉,ショウソウ,名詞-普通名詞-一般,漢
臭気,シュウキ,名詞-普通名詞-一般,漢
同行,ドウコウ,名詞-普通名詞-一般,漢
横領,オウリョウ,名詞-普通名詞-サ変可能,漢
旋律,センリツ,名詞-普通名詞-一般,漢
汚名,オメイ,名詞-普通名詞-一般,漢
兵卒,ヘイソツ,名詞-普通名詞-一般,漢
暴落,ボウラク,名詞-普通名詞-サ変可能,漢
兼務,ケンム,名詞-普通名詞-サ変可能,漢
ダスト,ダスト,名詞-普通名詞-一般,外
ミニチュア,ミニチュア,名詞-普通名詞-一般,外
混迷,コンメイ,名詞-普通名詞-サ変可能,漢
スプリング,スプリング,名詞-普通名詞-一般,外
大敗,タイハイ,名詞-普通名詞-サ変可能,漢
エコー,エコー,名詞-普通名詞-一般,外
酸味,サンミ,名詞-普通名詞-一般,漢
大卒,ダイソツ,名詞-普通名詞-一般,漢
利得,リトク,名詞-普通名詞-一般,漢
キャスト,キャスト,名詞-普通名詞-一般,外
パラメーター,パラメーター,名詞-普通名詞-一般,外
起立,キリツ,名詞-普通名詞-サ変可能,漢
行灯,アンドン,名詞-普通名詞-一般,漢
発癌,ハツガン,名詞-普通名詞-サ変可能,漢
左折,サセツ,名詞-普通名詞-サ変可能,漢
クラフト,クラフト,名詞-普通名詞-一般,外
白金,ハッキン,名詞-普通名詞-一般,漢
有事,ユウジ,名詞-普通名詞-一般,漢
へきえき,ヘキエキ,名詞-普通名詞-サ変可能,漢
伴奏,バンソウ,名詞-普通名詞-サ変可能,漢
コーラス,コーラス,名詞-普通名詞-一般,外
択一,タクイツ,名詞-普通名詞-一般,漢
野鳥,ヤチョウ,名詞-普通名詞-一般,漢
体位,タイイ,名詞-普通名詞-一般,漢
用具,ヨウグ,名詞-普通名詞-一般,漢
スコップ,スコップ,名詞-普通名詞-一般,外
セオリー,セオリー,名詞-普通名詞-一般,外
悪戦,アクセン,名詞-普通名詞-一般,漢
一翼,イチヨク,名詞-普通名詞-一般,漢
左遷,サセン,名詞-普通名詞-サ変可能,漢
軌,キ,名詞-普通名詞-一般,漢
飢饉,キキン,名詞-普通名詞-一般,漢
国司,コクシ,名詞-普通名詞-一般,漢
経常,ケイジョウ,名詞-普通名詞-一般,漢
ヘッドライト,ヘッドライト,名詞-普通名詞-一般,外
感応,カンノウ,名詞-普通名詞-サ変可能,漢
アカウント,アカウント,名詞-普通名詞-一般,外
船内,センナイ,名詞-普通名詞-一般,漢
ずさん,ズサン,名詞-普通名詞-形状詞可能,漢
併設,ヘイセツ,名詞-普通名詞-サ変可能,漢
失態,シッタイ,名詞-普通名詞-一般,漢
交尾,コウビ,名詞-普通名詞-サ変可能,漢
喜劇,キゲキ,名詞-普通名詞-一般,漢
読解,ドッカイ,名詞-普通名詞-サ変可能,漢
過多,カタ,名詞-普通名詞-形状詞可能,漢
議題,ギダイ,名詞-普通名詞-一般,漢
前部,ゼンブ,名詞-普通名詞-一般,漢
ジャンケン,ジャンケン,名詞-普通名詞-サ変可能,漢
戦災,センサイ,名詞-普通名詞-一般,漢
軟膏,ナンコウ,名詞-普通名詞-一般,漢
時報,ジホウ,名詞-普通名詞-一般,漢
巡洋,ジュンヨウ,名詞-普通名詞-一般,漢
鳥類,チョウルイ,名詞-普通名詞-一般,漢
皇位,コウイ,名詞-普通名詞-一般,漢
儒学,ジュガク,名詞-普通名詞-一般,漢
たくあん,タクアン,名詞-普通名詞-一般,漢
頭金,アタマキン,名詞-普通名詞-一般,混
電卓,デンタク,名詞-普通名詞-一般,漢
法政,ホウセイ,名詞-普通名詞-一般,漢
地質,チシツ,名詞-普通名詞-一般,漢
両社,リョウシャ,名詞-普通名詞-一般,漢
庶務,ショム,名詞-普通名詞-一般,漢
種別,シュベツ,名詞-普通名詞-サ変可能,漢
断,ダン,名詞-普通名詞-一般,漢
応,オウ,名詞-普通名詞-一般,漢
ハンドバッグ,ハンドバッグ,名詞-普通名詞-一般,外
皇,コウ,名詞-普通名詞-一般,漢
溶液,ヨウエキ,名詞-普通名詞-一般,漢
常温,ジョウオン,名詞-普通名詞-一般,漢
貴女,キジョ,名詞-普通名詞-一般,漢
花梨,カリン,名詞-普通名詞-一般,漢
ぶっきらぼう,ブッキラボウ,名詞-普通名詞-形状詞可能,混
ハードウェア,ハードウェア,名詞-普通名詞-一般,外
享年,キョウネン,名詞-普通名詞-一般,漢
窮乏,キュウボウ,名詞-普通名詞-サ変可能,漢
ブラインド,ブラインド,名詞-普通名詞-一般,外
奇抜,キバツ,名詞-普通名詞-形状詞可能,漢
張本,チョウホン,名詞-普通名詞-一般,漢
パーソナリティー,パーソナリティー,名詞-普通名詞-一般,外
薬師,ヤクシ,名詞-普通名詞-一般,漢
大腿,ダイタイ,名詞-普通名詞-一般,漢
ファンド,ファンド,名詞-普通名詞-一般,外
逗留,トウリュウ,名詞-普通名詞-サ変可能,漢
反ばく,ハンバク,名詞-普通名詞-サ変可能,漢
中級,チュウキュウ,名詞-普通名詞-一般,漢
半そで,ハンソデ,名詞-普通名詞-一般,混
喪服,モフク,名詞-普通名詞-一般,混
永劫,エイゴウ,名詞-普通名詞-一般,漢
洗顔,センガン,名詞-普通名詞-サ変可能,漢
祝祭,シュクサイ,名詞-普通名詞-一般,漢
旧姓,キュウセイ,名詞-普通名詞-一般,漢
ギャラ,ギャラ,名詞-普通名詞-一般,外
珍重,チンチョウ,名詞-普通名詞-サ変可能,漢
リセット,リセット,名詞-普通名詞-サ変可能,外
無休,ムキュウ,名詞-普通名詞-一般,漢
永代,エイタイ,名詞-普通名詞-一般,漢
必勝,ヒッショウ,名詞-普通名詞-一般,漢
桔梗,キキョウ,名詞-普通名詞-一般,漢
新造,シンゾウ,名詞-普通名詞-サ変可能,漢
同室,ドウシツ,名詞-普通名詞-サ変可能,漢
王侯,オウコウ,名詞-普通名詞-一般,漢
護送,ゴソウ,名詞-普通名詞-サ変可能,漢
ペナルティー,ペナルティー,名詞-普通名詞-一般,外
外泊,ガイハク,名詞-普通名詞-サ変可能,漢
殺生,セッショウ,名詞-普通名詞-サ変形状詞可能,漢
社寺,シャジ,名詞-普通名詞-一般,漢
露地,ロジ,名詞-普通名詞-一般,漢
宿場,シュクバ,名詞-普通名詞-一般,混
不遇,フグウ,名詞-普通名詞-形状詞可能,漢
二の腕,ニノウデ,名詞-普通名詞-一般,混
ユア,ユア,名詞-普通名詞-一般,外
地雷,ジライ,名詞-普通名詞-一般,漢
ニコチン,ニコチン,名詞-普通名詞-一般,外
享楽,キョウラク,名詞-普通名詞-サ変可能,漢
キューブ,キューブ,名詞-普通名詞-一般,外
以南,イナン,名詞-普通名詞-一般,漢
コンクール,コンクール,名詞-普通名詞-一般,外
威,イ,名詞-普通名詞-一般,漢
下巻,ゲカン,名詞-普通名詞-一般,漢
秘伝,ヒデン,名詞-普通名詞-一般,漢
来航,ライコウ,名詞-普通名詞-サ変可能,漢
名士,メイシ,名詞-普通名詞-一般,漢
プロポーズ,プロポーズ,名詞-普通名詞-サ変可能,外
自爆,ジバク,名詞-普通名詞-サ変可能,漢
萌芽,ホウガ,名詞-普通名詞-サ変可能,漢
辛辣,シンラツ,名詞-普通名詞-形状詞可能,漢
達し,タッシ,名詞-普通名詞-一般,混
孤島,コトウ,名詞-普通名詞-一般,漢
小銃,ショウジュウ,名詞-普通名詞-一般,漢
隣室,リンシツ,名詞-普通名詞-一般,漢
野宿,ノジュク,名詞-普通名詞-サ変可能,混
布地,ヌノジ,名詞-普通名詞-一般,混
無傷,ムキズ,名詞-普通名詞-形状詞可能,混
自認,ジニン,名詞-普通名詞-サ変可能,漢
酷似,コクジ,名詞-普通名詞-サ変可能,漢
皮質,ヒシツ,名詞-普通名詞-一般,漢
冬眠,トウミン,名詞-普通名詞-サ変可能,漢
食塩,ショクエン,名詞-普通名詞-一般,漢
私物,シブツ,名詞-普通名詞-一般,漢
ギフト,ギフト,名詞-普通名詞-一般,外
随時,ズイジ,名詞-普通名詞-副詞可能,漢
以北,イホク,名詞-普通名詞-一般,漢
欠,ケツ,名詞-普通名詞-一般,漢
ラリー,ラリー,名詞-普通名詞-一般,固
常人,ジョウジン,名詞-普通名詞-一般,漢
トン,トン,名詞-普通名詞-一般,外
合議,ゴウギ,名詞-普通名詞-サ変可能,漢
北海,ホッカイ,名詞-普通名詞-一般,漢
お釈迦,オシャカ,名詞-普通名詞-一般,混
離宮,リキュウ,名詞-普通名詞-一般,漢
憤怒,フンヌ,名詞-普通名詞-サ変可能,漢
古老,コロウ,名詞-普通名詞-一般,漢
謙遜,ケンソン,名詞-普通名詞-サ変形状詞可能,漢
功利,コウリ,名詞-普通名詞-一般,漢
変哲,ヘンテツ,名詞-普通名詞-一般,漢
成否,セイヒ,名詞-普通名詞-一般,漢
禄,ロク,名詞-普通名詞-一般,漢
腎,ジン,名詞-普通名詞-一般,漢
戦没,センボツ,名詞-普通名詞-サ変可能,漢
学位,ガクイ,名詞-普通名詞-一般,漢
遺志,イシ,名詞-普通名詞-一般,漢
スクエア,スクエア,名詞-普通名詞-一般,外
浴場,ヨクジョウ,名詞-普通名詞-一般,漢
プラグ,プラグ,名詞-普通名詞-一般,外
前段,ゼンダン,名詞-普通名詞-一般,漢
河畔,カハン,名詞-普通名詞-一般,漢
胎内,タイナイ,名詞-普通名詞-一般,漢
公会,コウカイ,名詞-普通名詞-一般,漢
尺八,シャクハチ,名詞-普通名詞-一般,漢
木刀,ボクトウ,名詞-普通名詞-一般,漢
ウール,ウール,名詞-普通名詞-一般,外
国歌,コッカ,名詞-普通名詞-一般,漢
テリトリー,テリトリー,名詞-普通名詞-一般,外
直下,チョッカ,名詞-普通名詞-サ変可能,漢
母音,ボイン,名詞-普通名詞-一般,漢
領内,リョウナイ,名詞-普通名詞-一般,漢
王道,オウドウ,名詞-普通名詞-一般,漢
平時,ヘイジ,名詞-普通名詞-一般,漢
専任,センニン,名詞-普通名詞-サ変可能,漢
再起,サイキ,名詞-普通名詞-サ変可能,漢
乱入,ランニュウ,名詞-普通名詞-サ変可能,漢
大隊,ダイタイ,名詞-普通名詞-一般,漢
動転,ドウテン,名詞-普通名詞-サ変可能,漢
流用,リュウヨウ,名詞-普通名詞-サ変可能,漢
暴言,ボウゲン,名詞-普通名詞-一般,漢
気取り,キドリ,名詞-普通名詞-一般,混
めい福,メイフク,名詞-普通名詞-一般,漢
トラスト,トラスト,名詞-普通名詞-一般,外
表層,ヒョウソウ,名詞-普通名詞-一般,漢
ハイパー,ハイパー,名詞-普通名詞-一般,外
気前,キマエ,名詞-普通名詞-一般,混
現況,ゲンキョウ,名詞-普通名詞-一般,漢
大蛇,ダイジャ,名詞-普通名詞-一般,漢
扇子,センス,名詞-普通名詞-一般,漢
新撰,シンセン,名詞-普通名詞-一般,漢
どくろ,ドクロ,名詞-普通名詞-一般,漢
ストレッチ,ストレッチ,名詞-普通名詞-一般,外
両名,リョウメイ,名詞-普通名詞-一般,漢
ひっ迫,ヒッパク,名詞-普通名詞-サ変可能,漢
校内,コウナイ,名詞-普通名詞-一般,漢
年表,ネンピョウ,名詞-普通名詞-一般,漢
雑炊,ゾウスイ,名詞-普通名詞-一般,漢
宣誓,センセイ,名詞-普通名詞-サ変可能,漢
首位,シュイ,名詞-普通名詞-一般,漢
蒼白,ソウハク,名詞-普通名詞-形状詞可能,漢
一蹴,イッシュウ,名詞-普通名詞-サ変可能,漢
術師,ジュツシ,名詞-普通名詞-一般,漢
小刀,ショウトウ,名詞-普通名詞-一般,漢
爆破,バクハ,名詞-普通名詞-サ変可能,漢
部局,ブキョク,名詞-普通名詞-一般,漢
族長,ゾクチョウ,名詞-普通名詞-一般,漢
客間,キャクマ,名詞-普通名詞-一般,混
切望,セツボウ,名詞-普通名詞-サ変可能,漢
独房,ドクボウ,名詞-普通名詞-一般,漢
参観,サンカン,名詞-普通名詞-サ変可能,漢
イヤリング,イヤリング,名詞-普通名詞-一般,外
女官,ジョカン,名詞-普通名詞-一般,漢
富国,フコク,名詞-普通名詞-一般,漢
財宝,ザイホウ,名詞-普通名詞-一般,漢
強兵,キョウヘイ,名詞-普通名詞-一般,漢
同郷,ドウキョウ,名詞-普通名詞-一般,漢
開館,カイカン,名詞-普通名詞-サ変可能,漢
狂乱,キョウラン,名詞-普通名詞-サ変可能,漢
細君,サイクン,名詞-普通名詞-一般,漢
口述,コウジュツ,名詞-普通名詞-サ変可能,漢
教職員,キョウショクイン,名詞-普通名詞-一般,漢
離島,リトウ,名詞-普通名詞-サ変可能,漢
関門,カンモン,名詞-普通名詞-一般,漢
カーディガン,カーディガン,名詞-普通名詞-一般,外
毎夜,マイヨ,名詞-普通名詞-副詞可能,混
解任,カイニン,名詞-普通名詞-サ変可能,漢
全貌,ゼンボウ,名詞-普通名詞-一般,漢
節度,セツド,名詞-普通名詞-一般,漢
フォーカス,フォーカス,名詞-普通名詞-サ変可能,外
追記,ツイキ,名詞-普通名詞-サ変可能,漢
参内,サンダイ,名詞-普通名詞-サ変可能,漢
初等,ショトウ,名詞-普通名詞-一般,漢
廃業,ハイギョウ,名詞-普通名詞-サ変可能,漢
中二,チュウニ,名詞-普通名詞-一般,漢
試食,シショク,名詞-普通名詞-サ変可能,漢
パンティー,パンティー,名詞-普通名詞-一般,外
模写,モシャ,名詞-普通名詞-サ変可能,漢
小心,ショウシン,名詞-普通名詞-形状詞可能,漢
級友,キュウユウ,名詞-普通名詞-一般,漢
論集,ロンシュウ,名詞-普通名詞-一般,漢
吸血,キュウケツ,名詞-普通名詞-一般,漢
着衣,チャクイ,名詞-普通名詞-サ変可能,漢
バリュー,バリュー,名詞-普通名詞-一般,外
新緑,シンリョク,名詞-普通名詞-一般,漢
往時,オウジ,名詞-普通名詞-一般,漢
僧正,ソウジョウ,名詞-普通名詞-一般,漢
ユース,ユース,名詞-普通名詞-一般,外
剰余,ジョウヨ,名詞-普通名詞-一般,漢
搬出,ハンシュツ,名詞-普通名詞-サ変可能,漢
シグナル,シグナル,名詞-普通名詞-一般,外
大判,オオバン,名詞-普通名詞-一般,混
恐喝,キョウカツ,名詞-普通名詞-サ変可能,漢
凶,キョウ,名詞-普通名詞-一般,漢
債券,サイケン,名詞-普通名詞-一般,漢
覆刻,フッコク,名詞-普通名詞-サ変可能,漢
軍医,グンイ,名詞-普通名詞-一般,漢
アンバランス,アンバランス,名詞-普通名詞-形状詞可能,外
王族,オウゾク,名詞-普通名詞-一般,漢
発狂,ハッキョウ,名詞-普通名詞-サ変可能,漢
自滅,ジメツ,名詞-普通名詞-サ変可能,漢
火力,カリョク,名詞-普通名詞-一般,漢
世襲,セシュウ,名詞-普通名詞-サ変可能,漢
ボーイフレンド,ボーイフレンド,名詞-普通名詞-一般,外
幕僚,バクリョウ,名詞-普通名詞-一般,漢
報知,ホウチ,名詞-普通名詞-サ変可能,漢
共栄,キョウエイ,名詞-普通名詞-サ変可能,漢
町名,チョウメイ,名詞-普通名詞-一般,漢
ハザード,ハザード,名詞-普通名詞-一般,外
