"見出し語彙素
Lexeme","標準的（新聞）表記
Standard (Newspaper) Orthography","標準的読み方（カタカナ）
Standard Reading (Katakana)","品詞
Part of Speech","
語種
Word Origin Type"
台所,台所,ダイドコロ,名詞-普通名詞-一般,混
毎月,毎月,マイツキ,名詞-普通名詞-副詞可能,混
ペン,ペン,ペン,名詞-普通名詞-一般,外
コート鱻coat,コート,コート,名詞-普通名詞-一般,外
ボタン,ボタン,ボタン,名詞-普通名詞-一般,外
カレー,カレー,カレー,名詞-普通名詞-一般,外
弁当,弁当,ベントウ,名詞-普通名詞-一般,漢
天気,天気,テンキ,名詞-普通名詞-一般,漢
パーティー,パーティー,パーティー,名詞-普通名詞-一般,外
来年,来年,ライネン,名詞-普通名詞-副詞可能,漢
漢字,漢字,カンジ,名詞-普通名詞-一般,漢
カップ,カップ,カップ,名詞-普通名詞-一般,外
封筒,封筒,フウトウ,名詞-普通名詞-一般,漢
財布,財布,サイフ,名詞-普通名詞-一般,漢
テスト,テスト,テスト,名詞-普通名詞-サ変可能,外
帽子,帽子,ボウシ,名詞-普通名詞-一般,漢
ズボン,ズボン,ズボン,名詞-普通名詞-一般,外
喫茶,喫茶,キッサ,名詞-普通名詞-一般,漢
スカート,スカート,スカート,名詞-普通名詞-一般,外
牛乳,牛乳,ギュウニュウ,名詞-普通名詞-一般,漢
ナイフ,ナイフ,ナイフ,名詞-普通名詞-一般,外
砂糖,砂糖,サトウ,名詞-普通名詞-一般,漢
授業,授業,ジュギョウ,名詞-普通名詞-サ変可能,漢
醤油,しょうゆ,ショウユ,名詞-普通名詞-一般,漢
コップ,コップ,コップ,名詞-普通名詞-一般,外
デパート,デパート,デパート,名詞-普通名詞-一般,外
シャワー,シャワー,シャワー,名詞-普通名詞-一般,外
警官,警官,ケイカン,名詞-普通名詞-一般,漢
月曜,月曜,ゲツヨウ,名詞-普通名詞-副詞可能,漢
鞄,カバン,カバン,名詞-普通名詞-一般,外
食堂,食堂,ショクドウ,名詞-普通名詞-一般,漢
プール,プール,プール,名詞-普通名詞-サ変可能,外
ポスト鱻post鼺郵便他,ポスト,ポスト,名詞-普通名詞-一般,外
エレベーター,エレベーター,エレベーター,名詞-普通名詞-一般,外
フィルム,フィルム,フィルム,名詞-普通名詞-一般,外
石鹸,せっけん,セッケン,名詞-普通名詞-一般,漢
茶色,茶色,チャイロ,名詞-普通名詞-一般,混
金曜,金曜,キンヨウ,名詞-普通名詞-副詞可能,漢
ギター,ギター,ギター,名詞-普通名詞-一般,外
切符,切符,キップ,名詞-普通名詞-一般,混
ネクタイ,ネクタイ,ネクタイ,名詞-普通名詞-一般,外
今月,今月,コンゲツ,名詞-普通名詞-副詞可能,漢
辞書,辞書,ジショ,名詞-普通名詞-一般,漢
ハンカチ,ハンカチ,ハンカチ,名詞-普通名詞-一般,外
