表記,読み
招待,ショウタイ
科学,カガク
海岸,カイガン
ガソリン,ガソリン
旅館,リョカン
カーテン,カーテン
ピアノ,ピアノ
中止,チュウシ
オーバー,オーバー
入学,ニュウガク
規則,キソク
市民,シミン
支度,シタク
アルコール,アルコール
赤ん坊,アカンボウ
見物,ケンブツ
故障,コショウ
馳走,チソウ
課長,カチョウ
用事,ヨウジ
発音,ハツオン
不便,フベン
輸入,ユニュウ
文学,ブンガク
景色,ケシキ
地震,ジシン
人口,ジンコウ
日記,ニッキ
西洋,セイヨウ
サラダ,サラダ
テキスト,テキスト
注射,チュウシャ
校長,コウチョウ
電灯,デントウ
生産,セイサン
コンサート,コンサート
医学,イガク
レジ,レジ
退院,タイイン
翻訳,ホンヤク
アナウンサー,アナウンサー
スクリーン,スクリーン
家内,カナイ
テニス,テニス
火事,カジ
数学,スウガク
拝見,ハイケン
水道,スイドウ
暖房,ダンボウ
水泳,スイエイ
特急,トッキュウ
ブドウ,ブドウ
競争,キョウソウ
産業,サンギョウ
アクセサリー,アクセサリー
郊外,コウガイ
サンダル,サンダル
急行,キュウコウ
屋上,オクジョウ
工業,コウギョウ
レポート,レポート
講義,コウギ
下宿,ゲシュク
汽車,キシャ
地理,チリ
オートバイ,オートバイ
サンドイッチ,サンドイッチ
貿易,ボウエキ
冷房,レイボウ
スーツケース,スーツケース
辞典,ジテン
木綿,モメン
ステレオ,ステレオ
ステーキ,ステーキ
柔道,ジュウドウ
ワープロ,ワープロ
ジャム,ジャム
学部,ガクブ
文法,ブンポウ
ハンバーグ,ハンバーグ
電報,デンポウ
エスカレーター,エスカレーター
輸出,ユシュツ
寝坊,ネボウ
講堂,コウドウ
予習,ヨシュウ
復習,フクシュウ
展覧,テンラン
日本,ニッポン
他,タ／ホカ
人間,ニンゲン
方法,ホウホウ
法,ホウ
現在,ゲンザイ
存在,ソンザイ
情報,ジョウホウ
地,チ
結果,ケッカ
中国,チュウゴク
実,ジツ
部分,ブブン
自然,シゼン
状態,ジョウタイ
主義,シュギ
実際,ジッサイ
一般,イッパン
学,ガク
自身,ジシン
当時,トウジ
内容,ナイヨウ
地域,チイキ
感,カン
活動,カツドウ
意識,イシキ
程度,テイド
理解,リカイ
状況,ジョウキョウ
例,レイ
中心,チュウシン
一方,イッポウ
使用,シヨウ
目的,モクテキ
評価,ヒョウカ
個人,コジン
行動,コウドウ
事件,ジケン
基本,キホン
事実,ジジツ
昭和,ショウワ
全体,ゼンタイ
変化,ヘンカ
精神,セイシン
同時,ドウジ
影響,エイキョウ
労働,ロウドウ
環境,カンキョウ
世紀,セイキ
図,ズ
制度,セイド
効果,コウカ
以前,イゼン
面,メン
地方,チホウ
調査,チョウサ
時期,ジキ
論,ロン
政府,セイフ
自己,ジコ
感じ,カンジ
確認,カクニン
際,サイ
責任,セキニン
企業,キギョウ
事業,ジギョウ
現実,ゲンジツ
組織,ソシキ
管理,カンリ
対象,タイショウ
保険,ホケン
逆,ギャク
機能,キノウ
国民,コクミン
条件,ジョウケン
表現,ヒョウゲン
判断,ハンダン
一体,イッタイ
軍,グン
土地,トチ
絶対,ゼッタイ
都市,トシ
章,ショウ
価値,カチ
国家,コッカ
対応,タイオウ
行為,コウイ
役,ヤク
結局,ケッキョク
フランス,フランス
明治,メイジ
一部,イチブ
死,シ
人生,ジンセイ
不安,フアン
能力,ノウリョク
報告,ホウコク
文字,モジ
決定,ケッテイ
参加,サンカ
量,リョウ
期間,キカン
機関,キカン
様子,ヨウス
ドイツ,ドイツ
条,ジョウ
代表,ダイヒョウ
構造,コウゾウ
システム,システム
局,キョク
位置,イチ
友人,ユウジン
商品,ショウヒン
具体,グタイ
自動,ジドウ
期待,キタイ
委員,イイン
人物,ジンブツ
率,リツ
発生,ハッセイ
性格,セイカク
中央,チュウオウ
知識,チシキ
次第,シダイ
身体,シンタイ
指導,シドウ
支配,シハイ
少年,ショウネン
事務,ジム
比較,ヒカク
発見,ハッケン
記憶,キオク
作業,サギョウ
現代,ゲンダイ
段階,ダンカイ
種類,シュルイ
過去,カコ
認識,ニンシキ
自体,ジタイ
イギリス,イギリス
同,ドウ
イメージ,イメージ
サービス,サービス
方向,ホウコウ
経営,ケイエイ
天皇,テンノウ
教授,キョウジュ
主張,シュチョウ
せい,セイ
選択,センタク
他人,タニン
努力,ドリョク
不思議,フシギ
解決,カイケツ
記録,キロク
構成,コウセイ
発展,ハッテン
開発,カイハツ
役割,ヤクワリ
成功,セイコウ
態度,タイド
本人,ホンニン
設定,セッテイ
成長,セイチョウ
夫婦,フウフ
レベル,レベル
政策,セイサク
想像,ソウゾウ
参照,サンショウ
王,オウ
以来,イライ
事情,ジジョウ
特徴,トクチョウ
最高,サイコウ
本来,ホンライ
全国,ゼンコク
実現,ジツゲン
感情,カンジョウ
体験,タイケン
作品,サクヒン
最大,サイダイ
保護,ホゴ
展開,テンカイ
処理,ショリ
感覚,カンカク
グループ,グループ
批判,ヒハン
差,サ
集団,シュウダン
規定,キテイ
基準,キジュン
資料,シリョウ
距離,キョリ
契約,ケイヤク
年齢,ネンレイ
担当,タントウ
思想,シソウ
健康,ケンコウ
近代,キンダイ
文,ブン
指摘,シテキ
以降,イコウ
要求,ヨウキュウ
ケース,ケース
師,シ
被害,ヒガイ
範囲,ハンイ
重,ジュウ
消費,ショウヒ
形成,ケイセイ
宗教,シュウキョウ
利益,リエキ
希望,キボウ
登場,トウジョウ
関心,カンシン
障害,ショウガイ
成立,セイリツ
世,ヨ
データ,データ
安定,アンテイ
施設,シセツ
発表,ハッピョウ
印象,インショウ
検討,ケントウ
道路,ドウロ
表情,ヒョウジョウ
関連,カンレン
件,ケン
今回,コンカイ
住宅,ジュウタク
敵,テキ
協力,キョウリョク
反応,ハンノウ
生命,セイメイ
今後,コンゴ
日常,ニチジョウ
老人,ロウジン
通常,ツウジョウ
茶,チャ
共同,キョウドウ
購入,コウニュウ
分析,ブンセキ
民族,ミンゾク
実施,ジッシ
提供,テイキョウ
愛,アイ
参考,サンコウ
出版,シュッパン
韓国,カンコク
項,コウ
表示,ヒョウジ
説,セツ
傾向,ケイコウ
戦後,センゴ
改革,カイカク
共通,キョウツウ
平成,ヘイセイ
ホーム,ホーム
理論,リロン
満足,マンゾク
計算,ケイサン
検査,ケンサ
交換,コウカン
